channel1,channel2,channel3
107272,272738,343239
107326,272792,343346
107386,272885,343371
107426,272822,343379
107519,272849,343415
107573,272874,343487
107581,272910,343483
107526,273051,343671
107399,272980,343593
107274,273032,343546
107138,272963,343649
107017,272940,343514
106953,272932,343578
106909,272924,343604
106835,272923,343469
106806,272986,343586
106729,272883,343592
106717,272830,343560
106729,272901,343666
106738,272895,343509
106713,272937,343484
106709,272889,343630
106682,272900,343571
106661,272874,343487
106602,272893,343479
106565,272821,343475
106521,272728,343441
106535,272699,343344
106518,272665,343299
106533,272799,343204
106513,272558,343354
106502,272583,343345
106453,272684,343283
106479,272611,343327
106454,272653,343277
106470,272645,343230
106474,272671,343258
106516,272615,343111
106522,272545,343257
106520,272661,343274
106531,272576,343187
106573,272484,343082
106568,272543,343123
106575,272540,343139
106586,272537,343270
106584,272545,343160
106566,272578,343157
106562,272437,343071
106440,272450,343007
106288,272347,342936
106136,272403,342868
105924,272210,342804
105764,272259,342827
105655,272225,342743
105593,272192,342846
105558,272346,342810
105444,272271,342900
105425,272280,342792
105342,272248,342772
105292,272223,342748
105243,272078,342548
105159,272106,342620
105153,272273,342656
105146,272059,342520
105052,272018,342536
104990,272055,342475
104943,272027,342645
104925,272095,342367
104865,272022,342501
104839,271980,342478
104848,271895,342512
104816,271959,342422
104823,271918,342588
104812,272044,342417
104811,271947,342513
104753,271963,342392
104777,271908,342345
104750,271876,342410
104763,271911,342366
104718,271851,342359
104701,271820,342285
104670,271719,342237
104678,271881,342246
104683,271903,342291
104707,271868,342268
104735,271970,342286
104708,271851,342188
104604,271867,342258
104480,271767,342304
104266,271725,342056
104109,271573,342070
103938,271608,342002
103854,271597,342001
103734,271540,341963
103652,271573,342030
103567,271546,341906
103508,271509,342061
103497,271509,342005
103478,271456,341979
103477,271504,342190
103450,271365,341933
103365,271492,342069
103323,271515,341858
103314,271489,342020
103246,271420,341899
103190,271350,341892
103146,271378,341749
103155,271336,341825
103136,271400,341830
103151,271413,341851
103112,271340,341934
103081,271448,341862
103102,271373,341859
103104,271331,341787
103101,271410,341804
