channel1,channel2,channel3
92961,287279,378845
93105,287206,378987
93288,287335,378975
93429,287285,378874
93605,287379,379031
93775,287467,379062
93969,287445,379042
94127,287481,378966
94295,287380,378986
94345,287299,378652
94391,287179,378466
94429,286977,378470
94498,287077,378321
94597,287113,378366
94607,287037,378325
94482,286864,378189
