channel1,channel2,channel3
98986,269392,345229
99084,269356,345262
99157,269313,345140
99203,269340,345127
99235,269367,345135
99261,269305,345235
99291,269357,345310
99333,269414,345212
99358,269438,345311
99411,269425,345269
99478,269450,345180
99590,269438,345235
99661,269448,345255
99712,269489,345284
99771,269434,345271
99869,269390,345368
99963,269453,345420
100018,269503,345367
100123,269578,345358
100193,269595,345305
100204,269428,345167
100124,269405,345351
99910,269315,345233
99685,269397,345210
99481,269429,345222
99338,269423,345285
99262,269411,345384
99210,269407,345141
99216,269350,345166
99208,269415,345189
99260,269479,345226
99341,269395,345225
99417,269428,345220
99478,269459,345242
99567,269494,345368
99615,269579,345179
99697,269557,345381
99729,269659,345383
99808,269603,345353
99871,269617,345201
99953,269586,345345
100016,269670,345391
100098,269653,345358
100182,269626,345368
100262,269662,345384
100337,269728,345443
100420,269805,345495
100505,269792,345469
100600,269794,345448
100649,269812,345415
100718,269801,345388
100694,269668,345370
100555,269668,345376
100356,269489,345290
100078,269530,345298
99841,269511,345185
99679,269382,345226
99592,269330,345154
99530,269395,345128
99508,269494,345032
99531,269551,345197
99574,269461,345152
99600,269446,345063
99668,269535,345085
99729,269550,345067
99774,269528,345101
99810,269555,345154
99841,269568,345189
99879,269533,345172
99939,269491,345294
99978,269660,345210
100040,269583,345261
100106,269681,345301
100193,269568,345244
100272,269659,345187
100343,269569,345154
100423,269694,345200
100471,269743,345247
100556,269752,345088
100655,269706,345273
100741,269684,345347
100782,269769,345326
100741,269557,345266
100572,269640,345316
100363,269717,345383
100183,269769,345297
100047,269723,345292
99913,269723,345239
99892,269666,345158
99873,269697,345175
99914,269694,345358
99935,269555,345212
100027,269774,345442
100112,269661,345361
100197,269796,345313
100257,269745,345329
100316,269841,345295
100331,269757,345351
100401,269760,345377
100398,269689,345334
100460,269653,345222
100535,269781,345218
100624,269771,345326
100691,269797,345438
100735,269704,345399
100827,269719,345266
100884,269755,345314
100970,269742,345271
101036,269779,345353
101138,269727,345351
101188,269787,345315
101271,269692,345330
